"","health","cb_num","N"
"851","Planting Space",405,434
"852","Good",407,18962
"853","Good",410,11518
"854","Dead",404,238
"855","Shaft",406,1
"856","Poor",410,951
"857","Dead",410,412
"858","Planting Space",409,1319
"859","Good",414,5814
"860","Poor",414,626
"861","Excellent",414,715
"862","Unknown",410,162
"863","Good",404,4224
"864","Excellent",407,3841
"865","Poor",407,1977
"866","Stump",409,287
"867","Excellent",410,1670
"868","Stump",414,47
"869","Unknown",414,70
"870","Dead",414,337
"871","Planting Space",410,806
"872","Poor",413,2336
"873","Excellent",413,4105
"874","Unknown",413,710
"875","Dead",413,831
"876","Stump",413,626
"877","Stump",410,236
"878","Shaft",409,30
"879","Excellent",482,74
"880","Stump",482,7
"881","Good",482,147
"882","Planting Space",482,5
"883","Poor",482,44
"884","Stump",407,424
"885","Planting Space",407,1074
"886","Unknown",411,631
"887","Poor",411,1870
"888","Excellent",484,6
"889","Good",484,52
"890","Planting Space",484,15
"891","Stump",412,450
"892","Stump",484,2
"893","Excellent",411,2435
"894","Stump",411,291
"895","Planting Space",411,265
"896","Dead",411,399
"897","Unknown",484,2
"898","Shaft",411,11
"899","Planting Space",413,1218
"900","Shaft",413,33
"901","Unknown",482,2
"902","Dead",407,783
"903","Unknown",407,381
"904","Shaft",407,23
"905","Good",481,42
"906","Dead",481,2
"907","Poor",481,2
"908","Planting Space",481,2
"909","Unknown",481,2
"910","Unknown",412,244
"911","Shaft",402,15
"912","Stump",481,1
"913","Shaft",412,77
"914","Shaft",405,10
"915","Planting Space",412,964
"916","Planting Space",414,282
"917","Shaft",410,1
"918","Shaft",401,7
"919","Shaft",403,7
"920","Unknown",404,64
"921","Shaft",414,12
"922","Poor",404,498
"923","Excellent",404,741
"924","Planting Space",404,392
"925","Stump",404,81
"926","Planting Space",480,2
"927","Poor",480,10
"928","Dead",480,2
"929","Stump",480,1
"930","Shaft",404,6
"931","Good",502,8294
"932","Good",501,11527
"933","Excellent",501,2540
"934","Poor",501,1334
"935","Good",503,19692
"936","Excellent",503,17462
"937","Poor",503,1675
"938","Excellent",502,9598
"939","Poor",502,809
"940","Dead",502,197
"941","Stump",501,81
"942","Dead",501,258
"943","Unknown",501,165
"944","Planting Space",501,53
"945","Unknown",502,102
"946","Shaft",501,2
"947","Stump",503,114
"948","Shaft",502,5
"949","Stump",502,96
"950","Planting Space",502,1525
"951","Dead",503,618
"952","Unknown",503,240
"953","Good",595,100
"954","Excellent",595,122
"955","Dead",595,6
"956","Poor",595,5
"957","Planting Space",503,7
"958","Stump",595,2
"959","Shaft",503,4
"960","Unknown",595,1
"961","Fair",102,1
"962","Critical",104,2
"963","Dead",482,1
